主題(fine),91,光電業,其他,其他電子業,化學工業,半導體業,塑膠工業,居家生活,建材營造,數位雲端,文化創意業,橡膠工業,水泥工業,汽車工業,油電燃氣業,玻璃陶瓷,生技醫療業,紡織纖維,綠能環保,航運業,觀光餐旅,貿易百貨,資訊服務業,農業科技業,通信網路業,造紙工業,運動休閒,金融保險,鋼鐵工業,電器電纜,電子通路業,電子零組件業,電機機械,電腦及週邊設備業,食品工業,總計
電子科技月收詳析,0,40,27,37,11,113,7,1,24,12,6,2,1,21,9,2,34,11,24,14,14,2,12,0,44,1,7,6,3,6,16,71,34,47,5,664
AI液冷記憶體個股,0,41,3,33,3,158,1,0,0,12,0,0,0,11,0,1,10,0,1,4,0,0,25,0,44,0,3,0,6,2,18,60,18,79,2,535
電子短線停損操作,0,27,20,22,12,45,5,1,19,4,4,4,0,5,2,3,17,14,1,4,6,3,6,2,21,0,7,8,11,5,8,69,14,39,6,414
現金股利配發決議,0,14,26,7,10,25,7,12,42,10,4,6,3,4,6,2,19,12,2,12,11,9,6,1,9,3,6,40,9,15,13,27,19,13,6,410
科技月收增減公告,0,29,17,16,8,75,0,8,12,6,4,0,2,10,0,0,14,5,7,6,8,2,12,0,30,2,11,2,3,3,11,46,18,31,1,399
轉投資取得處分,0,54,13,7,5,22,17,1,24,1,5,5,5,4,0,0,36,22,6,22,11,3,10,0,10,0,2,3,4,2,7,28,13,15,4,361
AI連結器外資動向,0,56,0,23,2,58,1,0,14,1,13,0,0,3,0,1,5,2,10,2,1,0,4,0,28,1,5,0,9,4,6,46,9,36,0,340
生技新藥臨床試驗,6,3,18,8,10,2,5,0,0,6,0,8,1,1,0,0,242,1,0,0,2,0,1,8,3,0,3,0,2,0,0,1,2,2,3,338
月收TWSE原始格式,0,17,24,17,7,28,2,12,19,7,8,2,2,6,0,1,16,1,0,4,6,0,2,0,18,0,7,4,10,2,18,37,27,20,5,329
年度EPS股利明細,0,14,26,13,11,20,4,6,23,9,6,1,4,6,3,1,11,6,6,8,15,2,7,2,12,0,3,11,5,2,3,14,8,21,10,293
注意交易揭露標準,0,34,13,13,10,37,0,0,6,1,1,0,0,8,0,2,4,2,6,7,1,1,4,0,16,2,3,1,6,2,6,47,27,24,2,286
第四季財報揭露,0,16,10,10,6,32,3,11,10,7,5,0,1,5,3,2,14,6,8,9,9,6,4,0,10,4,5,7,8,3,3,26,13,23,5,284
論壇水桶公告,0,14,17,10,3,8,3,3,12,8,2,3,4,5,3,0,46,7,12,0,9,2,7,1,14,0,4,7,6,1,3,39,11,7,10,281
高殖利率存股選股,0,17,15,10,10,26,5,20,15,6,3,0,1,5,0,0,22,5,1,1,3,4,6,2,4,0,8,11,2,3,7,24,15,24,0,275
技術面籌碼分析法,0,23,7,8,5,53,2,0,2,1,3,1,1,4,3,0,22,11,0,1,3,2,1,0,27,0,5,0,4,6,6,38,8,25,0,272
月收YOY月增討論,0,10,9,23,2,40,2,0,12,3,2,1,0,5,0,3,22,4,4,14,3,2,4,0,11,0,0,0,2,3,8,40,13,25,2,269
法說月自結損益,0,17,11,20,5,45,1,1,4,7,16,0,0,0,0,0,8,3,5,6,12,1,9,0,20,0,1,2,2,1,10,30,10,19,1,267
季合併財報公告,0,10,11,19,6,43,2,11,15,2,2,0,3,7,1,0,15,13,0,5,4,4,5,1,14,0,7,1,4,5,4,25,13,5,7,264
散戶短線買賣閒聊,2,23,8,8,8,33,7,3,5,3,4,3,0,2,0,1,19,6,6,4,3,6,5,3,7,1,8,2,8,1,5,30,11,26,2,263
當日進場停利問答,1,39,3,5,5,50,2,0,3,1,11,0,0,5,0,11,4,2,0,1,1,0,3,0,13,0,5,0,6,9,8,27,4,21,0,240
